LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.74575,20.81299,137,99,97,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74501,20.82168,136,98,95,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:21:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74365,20.84021,134,97,95,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:23:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74267,20.85574,134,96,93,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:25:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74213,20.8647,136,95,95,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:27:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74121,20.88005,136,95,95,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:29:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.74033,20.8957,136,95,94,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:31:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73983,20.90456,136,95,94,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:33:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73889,20.92111,136,95,94,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:35:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73842,20.92906,137,95,94,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:37:13.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73712,20.94454,136,98,97,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:39:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73554,20.96108,136,100,98,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:41:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73485,20.96872,134,100,98,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73485,20.96872,134,100,98,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:45:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73166,21.00007,134,100,99,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:47:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.73,21.01989,87,96,93,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:51:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72955,21.02849,69,93,91,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:53:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72939,21.0329,65,92,89,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:55:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72912,21.04021,63,98,88,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:57:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72912,21.04021,63,98,88,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T13:59:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72998,21.04824,57,101,108,3,LT-KLJ,NO,147,720,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T14:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72885,21.05604,76,101,93,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T14:03:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72847,21.06564,79,92,90,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T14:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72829,21.07411,76,89,92,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T14:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7279,21.08104,58,98,101,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,1,2016-12-19T14:09:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7272,21.08616,46,104,106,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:11:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72683,21.08843,40,103,107,1,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:13:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7261,21.09205,32,111,112,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72529,21.09412,15,98,136,2,LT-KLJ,NO,147,720,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:17:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72486,21.09296,11,146,211,2,LT-KLJ,NO,147,720,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:19:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.7254,21.09191,12,284,267,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:21:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72568,21.09154,2,130,289,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:23:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72549,21.09175,9,71,261,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72552,21.0922,4,9,255,2,LT-KLJ,NO,147,-720,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:27:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72552,21.0922,4,9,255,4,LT-KLJ,NO,147,-720,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:29:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72527,21.09241,2,178,236,1,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:31:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72527,21.09241,2,178,236,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:33:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72559,21.09265,4,61,264,1,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:35:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72559,21.09265,4,61,264,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:37:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72615,21.0927,5,359,283,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:39:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72652,21.09255,5,302,295,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:41:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,0
55.72661,21.09229,1,291,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09229,1,291,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:45:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09227,1,304,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:47:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09227,1,304,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:49:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09229,1,289,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:51:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09229,1,289,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:53:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09225,1,304,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:55:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09225,1,304,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:57:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09225,1,304,296,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T14:59:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09227,1,312,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.0923,1,312,295,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:03:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.0923,1,312,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.0923,1,312,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09231,1,308,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:09:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09231,1,308,295,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:11:13.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09228,1,301,295,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:13:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09228,1,301,295,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72666,21.09226,1,301,295,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:17:15.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72666,21.09226,1,301,295,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09226,1,301,295,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:21:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72665,21.09226,1,301,295,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:23:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72662,21.09223,1,315,295,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72662,21.09223,1,315,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:27:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09223,1,315,295,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:29:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09223,1,315,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:31:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09222,1,320,295,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:33:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09222,1,320,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:35:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09222,1,320,295,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:37:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09223,1,314,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:39:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09223,1,314,296,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:41:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09223,1,307,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09223,1,307,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:45:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09225,1,307,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:47:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09225,1,307,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:49:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,307,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:51:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,307,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:53:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09224,1,313,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:55:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09224,1,313,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:57:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09224,1,319,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T15:59:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09224,1,319,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:01:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09222,1,313,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:03:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09222,1,313,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,313,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:07:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,313,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,313,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:11:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,299,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:13:16.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09223,1,299,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09229,1,299,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:17:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09229,1,299,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:19:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09225,1,302,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:21:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09225,1,302,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:23:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09225,1,306,296,1,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:25:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72662,21.09227,1,315,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:31:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09227,1,302,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:33:15.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09227,1,302,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:35:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09228,1,302,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:37:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09228,1,302,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:39:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09228,1,302,296,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:41:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09228,1,302,296,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:43:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.7266,21.09228,1,306,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:45:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09227,1,301,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:47:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09227,1,301,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:49:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09227,1,301,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:51:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09227,1,301,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:53:07.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09229,1,301,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:55:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09229,1,301,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:57:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09227,1,301,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T16:59:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09227,1,301,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:01:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09227,1,301,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:03:08.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72658,21.09229,1,301,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72658,21.09229,1,301,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:07:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09229,1,301,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72659,21.09229,1,301,296,6,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:11:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09226,0,301,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:13:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09226,0,301,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09226,0,301,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:17:05.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72661,21.09228,0,312,296,5,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72663,21.09225,1,306,296,3,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:21:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09227,1,318,296,2,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:23:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
55.72664,21.09227,1,318,296,4,LT-KLJ,NO,147,0,XANTHIA,8,309724,22,20,11,17031,88,0,2016-12-19T17:25:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Tanker,Klaipeda,1
